"WORD","PART_OF_SPEECH","PRONUNCIATION","DEFINITION","LITERAL_TRANSLATION","RELATED_PHRASE","RELATED_PHRASE_DEFINITION","RELATED_PHRASE_LITERAL_TRANSLATION","RELATED_PHRASE_AUDIO_TITLE","RELATED_PHRASE_AUDIO_FILENAME","RELATED_PHRASE_AUDIO_SOURCE","CATEGORIES","CULTURAL_NOTE","REFERENCE","INCLUDE_IN_GAMES","CHILD_FRIENDLY","AUDIO_TITLE","AUDIO_DESCRIPTION","AUDIO_FILENAME","AUDIO_SHARED_WITH_OTHER_DIALECTS","AUDIO_CHILD_FOCUSED","AUDIO_SOURCE","AUDIO_RECORDER","IMG_TITLE","IMG_FILENAME","IMG_DESCRIPTION","IMG_SOURCE","USERNAME","CONTRIBUTOR"
"'liłiilksa","intransitive verb","'li/*łiil/ksa","spread, for example with a table knife; smear","","'Liłiilksa pinats ba̱ta̱ da la̱x anaayu.","Peanut butter is spread on my bread.","","Spoken example sentence with word: 'liłiilksa","'liliiksa-em-hb-02.mp3","","","","","1","","","","'liliiksa-em-hb-02.mp3","","","","","","","","","","",
"'liłiilksa","transitive verb","'li/*łiil/ksa","spread something","","'Liłiiltu pinats bata a la̱x anaay.","","","","","","","","","1","","","","","","","","","","","","","","",
"ałga di goo","indefinite pronoun","*ał/ga/di/*goo","nothing","","Ałga di gooł dm dzabii.","I'm not going to do anything.","","Spoken example sentence with word: ałga di goo","algadigo-db-kk-03.mp3","Doug Brown, Gitxaała","","","Dunn, Practical Dictionary entry: 62.","1","","","","algadigo-db-kk-03.mp3","","","","","","","","","","",
"'lii ḵ'a̱n gyaks","transitive verb","","washed over, underwater","","Ada 'lii ḵ'a̱n gyaksgit a na xeeg̱a g̱oop.","And washed over with the foam of the waves.","","","","Boas, Fr 1134.1","","","","1","","","","","","","","","","","","","","",
"dzog̱a=","preverbal","*dzo/g̱a̱","across","","Dzog̱a aadza̱g̱a aada ḵ'ala aks.","The net reached across the river.","","Spoken example sentence with word: dzog̱a=","dzoGa-vn-hb-06.mp3","Velna Nelson, Txałgiiw","","","Dunn, Practical Dictionary entry: 267.","1","","","","dzoGa-vn-hb-06.mp3","","","","","Image depicting: dzog̱a=","Waterscape 1876.jpg","","Image from Print Artist Platinum software, version 23, Supplementary Graphics CD.","","",
"hashosk","intransitive verb","has/*hosk","have trouble (serious trouble between people)","","'Wiileeksm hashosga g̱alts'a̱p","This was a great tragedy in the village","","","","Beynon m 152.1","","","Dunn, Practical Dictionary entry: 766. ","1","","","","","","","","","","","","","","",
"g̱a̱'wis","common noun","g̱a̱/'wis","baby girl; toddler","","Ła łgu k'wił łootgas g̱a̱'wis.","The little girl is crawling now.","","Spoken example sentence with word: g̱a̱'wis","ga'wis-dl-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 292.","1","","","","ga'wis-dl-hb-01.mp3","","","","","Image depicting: g̱a̱'wis","GIRL - AMAZED 2.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"gyedmxł","common noun","","oyster catcher","","","","","","","","","","Dunn, Practical Dictionary entry: 567.","1","","","","","","","","","","","","","","",
"ksla̱x'oosmt'aays","common noun","ks/la̱x/*'oos/m/*t'aays","bedspread; quilt","","Amap'asa ksla̱x'oosmt'aays.","It's a pretty bedspread.","","","","","","","Dunn, Practical Dictionary entry: 2175.","1","","","","","","","","","","","","","","",
"k'a aam","intransitive verb","k'a̱/*'aam","best; better; very good","","K'a aam k'üülda wa̱p laałk dm habm.","The other hotel we will go to is better.","","Spoken example sentence with word: k'a aam","k'a'aam-em-hb-02.mp3","","","","","1","","","","k'a'aam-em-hb-02.mp3","","","","","Image depicting: k'a aam","MAN - BEING GOOD.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"la̱g̱ayt=","preverbal","","on top","","La̱g̱ayt yaan a gee.","Come on up here.","","","","","","","","1","","Person saying: la̱g̱ayt=","","","","","","","","","","","","",
"iimx","common noun","iimx","whiskers; beard; moustache; facial hair","","'Nik'nuunga iimxs Dzon.","John's beard is long.","","Spoken example sentence with word: iimx","iimx-br-k-01.mp3","","","","Dunn, Practical Dictionary entry: 834.","1","","","","iimx-br-k-01.mp3","","","","","Image depicting: iimx","CONSTRUCTION WORKER 01.jpg","","Image from Print Artist Platinum edition, version 23, Bonus Graphics CD.","","",
"nłts'iik","common noun","","seashell","","nłts'iik, Ama maxsa k'aba nłts'iik","Sea shells are pretty.","","Spoken example sentence with word: nłts'iik","n-nłtsi’ik-seashells-vn-hb-2015_1.mp3","","","","","1","","","","n-nłtsi’ik-seashells-vn-hb-2015_1.mp3","","","","","","","","","","",
"lu yüü","intransitive verb","lu/*yüü","hide behind (pl.)","","Ła luyüü gyemk.","The moon is hidden (either it's dark phase or behind clouds).","","Spoken example sentence with word: lu yüü","luyuu-em-hb-02.mp3","","","","","1","","","","luyuu-em-hb-02.mp3","","","","","Image depicting: lu yüü","GIRL CRYING 12.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"anii","discourse marker","a/*nii","okay?; should we?; eh?","","Aam dm k'a sima̱ḵ'oosm, anii.","It'll be good if we go pick salmonberries, eh?","","Spoken example sentence with word: anii","anii-vn-hb-06.mp3","","","","","1","","","","anii-vn-hb-06.mp3","","","","","","","","","","",
"t'masool","quantifier","t'm/a/*sool","how many people","","","","","","","","","","","1","","","","","","","","","","","","","","",
"t'masool","CL-INIT interrogative","t'm/a/*sool","how many (used only to ask about people)","","T'masooldu gyet?","How many people?","","","","","","","","1","","","","","","","","","Image depicting: t'masool","Kids 929.jpg","","Image from Print Artist Platinum solftware, version 23, Supplementary Graphics CD.","","",
"ksm=","prenominal","ksm","woman, female (can be used to modify place names, e.g. ksm Gidasdzuu = 'a woman from Klemtu') ","","Ksm gisbutwada'nu.","I am a killerwhale woman. (Darlene Leland, Txałgiiw)","","Spoken example sentence with word: ksm=","ksm-dl-hb-03.mp3","","","","","1","","","","ksm-dl-hb-03.mp3","","","","","","","","","","",
"g̱aak","common noun","g̱aak","ligament; muscles","","Delbiksga na g̱aagu.","I have cramps in my muscles.","","Spoken example sentence with word: g̱aak","gaak-mb-kk-01.mp3","","","","","1","","","","gaak-mb-kk-01.mp3","","","","","Image depicting: g̱aak","People - General 439.jpg","","Image from Print Artist Platinum software, version 23, Supplementary Graphics CD.","","",
"dii g̱oydiks","transitive verb","","bring something","",""Wayi daał, t'ooxłga g̱oodu a goo dii g̱oyt'iksu a k'wan",""Well my dear, I am sad at what I have brought to you,","","Spoken example sentence with word: dii g̱oydiks","636855959117128217A LexExampleSentence.mp3","Beynon m 290.1","","","","1","","","","636855959117128217A LexExampleSentence.mp3","","","","","","","","","","",
"t'uus","transitive verb","t'uus","push, hit; push","","T'uusa xbiisa awaan da gii.","Push that box over here.","","","","","","","Dunn, Practical Dictionary entry: 1875.","1","","","","","","","","","Image depicting: t'uus","MAN PUSHING DIRT.jpg","","Image from Print Artist Platinum edition, version 23, Bonus Graphics CD.","","",
"'nisihoon","common noun","'ni/si/*hoon","fishing place; owned/hereditary fishing ground","","Ndaayu wil 'nisihoon?","Where is your fishing place?","","Spoken example sentence with word: 'nisihoon","'nisihoon-em-hb-02.mp3","","","","Dunn, Practical Dictionary entry: 1489.  Dunn, Practical Dictionary entry: 1540.","1","","","","'nisihoon-em-hb-02.mp3","","","","","","","","","","",
"g̱a̱lḵ'oolks","intransitive verb","g̱al/*ḵ'oo/lks","warm one's back by the fire (pl.)","","Yagwa g̱alḵ'oolksa gyet da 'nast'oo lak.","The people are warming their backs beside the fire.","","","","","","","","1","","","","","","","","","Image depicting: g̱a̱lḵ'oolks","CAMPFIRE 25.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"ts'iił","common noun","ts'iił","sandpiper; common snipe ","","Nah di ga̱ba gyeda ts'iił asda gyik'oołda.","People ate sandpipers long ago.","","Spoken example sentence with word: ts'iił","ts'iil-dl-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 1934.","1","","","","ts'iil-dl-hb-01.mp3","","","","","Image depicting: ts'iił","SANDPIPER 8.jpg","","Image from Print Artist software, version 23, Bonus Graphics CD1. ","","",
"lipaayk","intransitive verb","li/*paayk","fly (pl.)","","Heelda wil lipaayga łii'wn da la̱xha.","There's lots of snow geese flying in the air.","","Spoken example sentence with word: lipaayk","lipaayk-em-hb-02.mp3","","","","Dunn, Practical Dictionary entry: 623.  Dunn, Practical Dictionary entry: 1096.","1","","","","lipaayk-em-hb-02.mp3","","","","","","","","","","",
"nu'un","transitive verb","","dress someone","","ada dip gwa̱'a̱ int dzaba txa'nii goo int yooyks txa'moo adat nu'un dzagit.","And these people are the ones who do everything, who wash the body, and dress the deceased.","","","","Jacobs-F 18.1","","","","1","","","","","","","","","","","","","","",
"wa̱xł","common noun","wa̱xł","beaver's tail","","Adat yedza n'wii wa̱xłt a la̱x aks.","And he hit the water with his big tail.","","","","","","","Dunn, Practical Dictionary entry: 2072.","1","","","","","","","","","Image depicting: wa̱xł","BEAVER-ab-ed-calendar-henry-k.bmp","","Image courtesy of Aboriginal Education, School District 52.","","",
"bu'ṉsk","intransitive verb","*bu/'nsk","spout; splash; blow smoke","","Bu'nsga 'neexł.","The killer whale blew a spout.","","Spoken example sentence with word: bu'ṉsk","bu'nsk-br-kk-01.mp3","","","","Dunn, Practical Dictionary entry: 170.","1","","","","bu'nsk-br-kk-01.mp3","","","","","Image depicting: bu'ṉsk","Bath 6.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD. ","","",
"nanaat","common noun","na/*naat","mallard duck","","Ts'imaatga suubm nanaat.","Mallard duck soup tastes good.","","Spoken example sentence with word: nanaat","na'naat-mb-tak-02.mp3","","","","Dunn, Practical Dictionary entry: 1508.","1","","Person saying: nanaat","","na'naat-mb-tak-02.mp3","","","","","Image depicting: nanaat","DUCK - MALLARD 1.jpg","","Image from Print Artist software, version 23, Bonus Graphics CD1. ","","",
"wookwal","transitive verb","","","","","","","","","","","","","1","","","","","","","","","","","","","","",
"'is","intransitive verb","'is","smell like","","'Is hoon ts'ikts'igu.","My car smells like fish. (Beatrice Robinson Gitxaała)","","Spoken example sentence with word: 'is","'is-br-k-01.mp3","","","","Dunn, Practical Dictionary entry: 841.  Boas, Tsimshian Texts (New Series)","1","","Person saying: 'is","","'is-br-k-01.mp3","","","","","","","","","","",
"k'widaat","number","k'wi/*daat","one (human aboard a conveyance)","","","","","","","","","","Dunn, Practical Dictionary entry: 1012.","1","","","","","","","","","","","","","","",
"k'widaat","intransitive verb","k'wi/*daat","alone","","Ada luwantga g̱oodu dawil k'widaat.","But I’m worred because he is alone on the boat.","","","","Fumiko S 4.1","","","Dunn, Practical Dictionary entry: 1012.","1","","","","","","","","","","","","","","",
"ha'an t'aas","common noun","","cause of","","Ada ałga aamł ha'an t'aasił k'ooldił sm'ooygit na k'wa̱sm g̱oot.","","But it will be well that it will not be the cause of a broken heart to any one of the chiefs. ","","","Beynon m 547.1","","","","1","","","","","","","","","","","","","","",
"ła'ask","common noun","","seaweed","","","","","","","","","","","1","","","","","","","","","Image depicting: ła'ask","seaweed cake.jpg","","Photograph courtesy of Margaret Anderon","","",
"gyigyiinwa̱xł","common noun","gyi/*gyiin/wa̱xł","prayer","","Na gyigyiingwa̱xła waadidas Nugwitsmas","the prayer of the one named Nugwitsmas.","","","","K 03 Dor 2.1","","","Dunn, Practical Dictionary entry: 587.","1","","","","","","","","","","","","","","",
"gyigyiinwa̱xł","intransitive verb","gyi/*gyiin/wa̱xł","pray","","Alik dm gyigyiinwa̱xłgit nag̱oog̱a dm sit'aa'mim.","Alex will pray before we start.","","Spoken example sentence with word: gyigyiinwa̱xł","gyigyiinwaxl-sc-k-01.mp3","","","","Dunn, Practical Dictionary entry: 587.","1","","","","gyigyiinwaxl-sc-k-01.mp3","","","","","Image depicting: gyigyiinwa̱xł","gyigyiinwaxl.bmp","","The late Jessie Bolton, Hartley Bay.","","",
"ts'a'ax","common noun","","clams","","","","","","","","","","Dunn, Practical Dictionary entry: 1898.","1","","","","","","","","","Image depicting: ts'a'ax","CLAMS2.jpg","","Image from Print Artist Platinum edition, version 23, Bonus Graphics CD.","","",
"ła'at","common noun","ła'at","ball; basketball","","Aam dm sag̱ayt g̱ała'at'm dziła g̱awdim a gwa̱'a̱.","We should all play ball when we are finished here.","","Spoken example sentence with word: ła'at","la'at-02-em-hb-02.mp3","","","","Dunn, Practical Dictionary entry: 1292.","1","","","","la'at-02-em-hb-02.mp3","","","","","Image depicting: ła'at","Unit 9- object- ball.jpg","","Image courtesy of Aboriginal Education, School District 52","","",
"ła'at","intransitive verb","ła'at","play basketball","","Xstaa nłaanu ła ła'at da Kxeen.","My team won when they were playing in Prince Rupert.","","","","","","","Dunn, Practical Dictionary entry: 1292.","1","","","","","","","","","","","","","","",
"'nadist'uus","intransitive verb","'na/dis/*t'uus","knock on, push on (pl.)","","G̱alksa̱ baa'nu ła 'nadist'uusa liksoox.","I ran through when somebody knocked on the door.","","Spoken example sentence with word: 'nadist'uus","'nadist'uus-em-hb-02.mp3","","","","","1","","","","'nadist'uus-em-hb-02.mp3","","","","","Image depicting: 'nadist'uus","LET ME IN!.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"sgüü","transitive verb","sgüü","must; have to; supposed to; should","","Akadi sgüüł dm dip libaalg̱a silagyedm.","We should not hate other people.","","Spoken example sentence with word: sgüü","sguu2-dl-hb-03.mp3","","","","","1","","","","sguu2-dl-hb-03.mp3","","","","","","","","","","",
"gun g̱oot","transitive verb","","go towards something","","g̱a̱n sm hagwil yaat at gun g̱oot.","so he slowly walked towards it.","Therefore he went slowly, and went near it.","","","Boas, Fr 1304.1","","","","1","","","","","","","","","","","","","","",
"ḵ'a̱mts'n=","preverbal","ḵ'am/*ts'n","secretly; silently","","Dm ḵ'amts'n ksüü'nu da gyelx.","I'm going to sneak outside.","","Spoken example sentence with word: ḵ'a̱mts'n=","k'amts'n-dl-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 877.  Boas TT: q!a'mts!En","1","","","","k'amts'n-dl-hb-01.mp3","","","","","Image depicting: ḵ'a̱mts'n=","SHHH.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"ḵ'a̱mts'n=","prenominal","ḵ'am/*ts'n","secret","","Ḵ'a̱mts'n nsiip'nsgit","her secret lover","","","","Fumiko S 153.1","","","Dunn, Practical Dictionary entry: 877.  Boas TT: q!a'mts!En","1","","","","","","","","","","","","","","",
"doosda","common noun","*doos/da","opposite side; other side","","'Nadoosda a Kxeen wil sima̱ḵ'ooxsm.","We get salmonberries across Prince Rupert.","","Spoken example sentence with word: doosda","doosda-mb-k-01.mp3","Marjorie Brown, Gitxaała","","","Dunn, Practical Dictionary entry: 224.","1","","","","doosda-mb-k-01.mp3","","","","","Image depicting: doosda","Religion  237.jpg","","Image from Print Artist Platinum software, version 23, Supplementary Graphics CD.","","",
"wila haw","intransitive verb","","feeling","","Ada ła gyik yenaka la haw gyemk.","And the heat is really bad again.","","","","Fumiko S 11.1","","","","1","","","","","","","","","","","","","","",
"wila haw","intransitive verb","","how it goes, how it says","","Wah, a dawilat, dawila alt, di wila haw adaawg̱a'ii","Well, then, then that what the adaawx says","","","","HB 012 V 109.1","","","","1","","","","","","","","","","","","","","",
"gup'lwilk'yep","number","*gup'l/wil/*k'yep","twenty (abstract and round objects)","","Gup'l wil k'yeba sg̱at'ooxłga p'axsa hasa̱g̱a łgu 'yuuta.","The pants that the little guy wants cost $20.","","Spoken example sentence with word: gup'lwilk'yep","gup'lwilkyep-ab-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 1057.","1","","","","gup'lwilkyep-ab-hb-01.mp3","","","","","","","","","","",
"ha'li'ya'ya̱xs","common noun","ha/'li/*'ya/'yaxs","clothesline","","","","","","","","","","","1","","","","","","","","","Image depicting: ha'li'ya'ya̱xs","CLOTHESLINE 10.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"gwun=","preverbal","","cause to; causative; tell to","","","","","","","","","","","1","","","","","","","","","","","","","","",
"'na uut","common noun","","oven","",""Dzida ła hii ts'iin, ada dzi wil log̱m baan asga ts'm 'na uut.",""When you enter, go right into his oven.","","","","Boas, Fr 672.1","","","","1","","","","","","","","","","","","","","",
"gweel","intransitive verb","","","","","","","","","","","","","1","","","","","","","","","","","","","","",
"sbil muu","common noun","","premonition, sometimes indicated by hearing a voice or an animal appearing, for example before something happens to someone.","","Sbil muut Ellen.","Ellen had a premonition.","","Spoken example sentence with word: sbil muu","sbil-muu-br-2018.mp3","","","","","1","","","","sbil-muu-br-2018.mp3","","","","","","","","","","",
"saga̱ksk","intransitive verb","sa/*ga̱ksk","frightened","","Luk'wil saga̱ksga noos Dzon ła tgi ḵ'a̱phaytga 'yuuta.","John's mother was very frightened when the man fell down.","","Spoken example sentence with word: saga̱ksk","sagaksk-3-em-2018.mp3","","","","","1","","","","sagaksk-3-em-2018.mp3","","","","","Image depicting: saga̱ksk","BOY SCARES GIRL WITH FROG.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"saga̱ksk","intransitive verb","sa/*ga̱ksk","surprised","","Ada sm sa wudi saga̱ksga łguwaalksik ","And it seemed like suddenly the prince got startled."," ","Spoken example sentence with word: saga̱ksk","sagaksk-em-2018.mp3","Beynon m 533.1","","","","1","","","","sagaksk-em-2018.mp3","","","","","","","","","","",
"amagigyet","intransitive verb","","friendly, good-natured, kind (pl.)","","luk'wil amagigyeda sumaxsit","really friendly young people,","","","","M 01 Alf 178.1","","","","1","","","","","","","","","Image depicting: amagigyet","FRIENDS 2.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"lu g̱a̱ts'ilts'al","common noun","ts'il/*ts'al","faces; eyes","","Heelda amgyiik da ła lu g̱ats'ilts'al xs'waanx.","There are a lot of black ducks when the herring eggs have eyes in them.","","Spoken example sentence with word: lu g̱a̱ts'ilts'al","ts'ilts'al-dl-hb-03.mp3","","","","","1","","","","ts'ilts'al-dl-hb-03.mp3","","","","","","","","","","",
"ksi bee'ḵl","transitive verb","ksi/be/*'aḵl","tear out","","Ksi bee'ḵl k'üülda sa'wnsk da k'oy.","Tear out one page of paper for me.","","Spoken example sentence with word: ksi bee'ḵl","ksibe'akl-br-k-01.mp3","","","","Dunn, Practical Dictionary entry: 958.","1","","","","ksibe'akl-br-k-01.mp3","","","","","","","","","","",
"luho'on","transitive verb","lu/*ho'on","fill up","","Lu ho'on ndzem aksn.","Fill up your kettle.","","Spoken example sentence with word: luho'on","luho'on-em-hb-02.mp3","","","","Dunn, Practical Dictionary entry: 1208.","1","","","","luho'on-em-hb-02.mp3","","","","","","","","","","",
"k'a̱lt'uus","transitive verb","","punch; hit; nudge","","'Nii g̱an akan k'alt'uust.","That’s why I didn’t hit him.","","","","Fumiko S 10.1","","","","1","","","","","","","","","","","","","","",
"łwa'yil","transitive verb","ł/wa/'yil","mix up; stir","","Łwa'yil na dzem 'yaansu.","Stir my boiled chitons.","","","","","","","Dunn, Practical Dictionary entry: 1356.","1","","","","","","","","","Image depicting: łwa'yil","MIXING BATTER.jpg","","Image from Print Artist Platinum edition, version 23, Bonus Graphics CD.","","",
"wineeya","common noun","wi/*neeya","food","","Ła Ha'likstuunsa̱ sah wil hii g̱a̱lmwa'atu angyiiga̱ abuum wineeya̱.","On Friday I went to the store to buy a few groceries.","","","","","","","Dunn, Practical Dictionary entry: 2120.","1","","","","","","","","","Image depicting: wineeya","","","wineeya","","",
"xboolg̱n","common noun","*xbool/g̱n","night birds (usage: Including bats, owls, chicken hawks and nighthawks)","","Heelda k'aba xboolg̱n ła hup'l.","There are lots of night birds after dark.","","Spoken example sentence with word: xboolg̱n","xboolgn-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 2141.","1","","","","xboolgn-dl-hb-03.mp3","","","","","Image depicting: xboolg̱n","Owl 72.jpg","","Image from Print Artist Platinum solftware, version 23, Supplementary Graphics CD.","","",
"ts'ilaay","transitive verb","ts'i/*laay","visit","","dmt g̱ap lip nii wila loo t'in ts'ilaaya wil sgüüsga naksis nabiipt.","that he might really see what this man was doing there this man who was visiting the place where the wife of his uncle lay.","","","","Beynon m 21:2","","","Dunn, Practical Dictionary entry: 1660.  Dunn, Practical Dictionary entry: 1919.","1","","","","","","","","","Image depicting: ts'ilaay","Unit 6- action- to visit.jpg","","Image courtesy of Aboriginal Education, School District 52.","","",
"ma̱n ya'an","transitive verb","","raise something","","Da'ik silm hawt "gooyu dzidzabn" ma̱n ya'an amhawt.","And he said it again, "what are you doing?" raising his voice.","","","","HB 004 V 45.1","","","","1","","","","","","","","","","","","","","",
"'wiig̱oli","intransitive verb","","long-haired person","","","","","","","","","","Dunn, Practical Dictionary entry: 2079.","1","","","","","","","","","","","","","","",
"wayi","interjection","*way/i","well; now; so","","Wayi! Naayu dm adawg̱at?","Well now! Who is going to tell a story?","","","","","","","","1","","","","","","","","","","","","","","",
"'nadoo","common noun","","other side","","Wayi 'nii 'nadoo da 'wii wap sguul gwasga","Well, on the other side of that big school over there","","","","HB 07 Co 99.1","","","","1","","","","","","","","","","","","","","",
"stiimboodmḵ'ala'aks","common noun","stiim/*boodm/ḵ'ala/*'aks","riverboat","","Mooxga nikdaayu da stiimboodmḵ'ala'aks.","My aunt is on a riverboat.","","Spoken example sentence with word: stiimboodmḵ'ala'aks","stiimboodmk'ala'aks-dl-hb-03.mp3","","","","","1","","","","stiimboodmk'ala'aks-dl-hb-03.mp3","","","","","Image depicting: stiimboodmḵ'ala'aks","RIVERBOATS.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"sa guusk","intransitive verb","","stumble, fall down","","ałga hasa̱xs Sg̱agweet dm sa guusga łguułgit 'Wiiseeks a wil yagwa 'wiihawtgit. ","","Sg̱agweet does not wish to see his son fall down with grief while weeping. ","","","Beynon m 587.1","","","","1","","","","","","","","","","","","","","",
"sag̱aytg̱awdi","intransitive verb","sa/*g̱ayt/*g̱aw/di","get together in a group ","","Sag̱ayt g̱awdi na kwayaka Gitḵ'a'ata. ","The Hartley Bay choir has gathered together.","","Spoken example sentence with word: sag̱aytg̱awdi","sagaytgawdi-dl-hb-01.mp3","","","","","1","","","","sagaytgawdi-dl-hb-01.mp3","","","","","","","","","","",
"txa̱lyaa","intransitive verb","txa̱l/*yaa","enlarge; increase; grow; strengthen; expand","","Ła txa̱lyaa baask.","The wind is getting stronger.","","Spoken example sentence with word: txa̱lyaa","txalyaa-dl-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 1891.","1","","","","txalyaa-dl-hb-01.mp3","","","","","","","","","","",
"g̱a̱l g̱oot","intransitive verb","","confused","","G̱a̱l g̱oodu.","I’m confused.","","","","","","","","1","","","","","","","","","","","","","","",
"txalk'yilam","transitive verb","","to give something with something else","","Txal k'yilamdida sag̱ayt yaanst.","He/she gave it with his/her donations.","","Spoken example sentence with word: txalk'yilam","dida-dr-hb-01.mp3","","","","","1","","","","dida-dr-hb-01.mp3","","","","","","","","","","",
"siiwkws","common noun","siikws","fresh fish","","Wayi, dzi g̱a̱xsiiwkwsm.","Well, let's have some fresh fish.","","","","","","","","1","","","","","","","","","","","","","","",
"g̱oontk","transitive verb","g̱oontk","braid","","Dm g̱oontgu nag̱a̱ws Leila.","I will braid Leila's hair.","","Spoken example sentence with word: g̱oontk","goontk-bb-hb-01.mp3","","","","","1","","","","goontk-bb-hb-01.mp3","","","","","","","","","","",
"gwaanks","intransitive verb","gwaanks","cooked; done","","Wayi, ła gwaanksa sami.","Okay, the meat is cooked.","","Spoken example sentence with word: gwaanks","gwaanks-db-kk-03.mp3","","","","Dunn, Practical Dictionary entry: 508.  Dunn, Practical Dictionary entry: 1694.","1","","","","gwaanks-db-kk-03.mp3","","","","","Image depicting: gwaanks","Unit 3- other- cooked.jpg","","Image courtesy of Aboriginal Education, School District 52.","","",
"gwaanks","intransitive verb","gwaanks","faded; pale","","Ła gwaanksa wilgyeda na ksłüüsgu.","The colour of my shirt is faded.","","","","","","","Dunn, Practical Dictionary entry: 508.  Dunn, Practical Dictionary entry: 1694.","1","","","","","","","","","","","","","","",
"xg̱a̱nłaaks","intransitive verb","x/g̱a̱n/*łaaks","breakfast","","Łgümet dił xoolgm anaay dm xg̱a̱nłaaksu.","I will have eggs and toast for breakfast.","","Spoken example sentence with word: xg̱a̱nłaaks","xganlaaks-dl-hb-03.mp3","","","","","1","","","","xganlaaks-dl-hb-03.mp3","","","","","Image depicting: xg̱a̱nłaaks","BREAKFAST AT DAWN.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"simiik'isk","common noun","si/*mii/k'isk","Swainson’s thrush - singing birds - they sing when the salmonberries are ripe","","'Nax'nuuyu simiik'isk, ła mikmiiga maḵ'ooxs.","I hear the birds singing, the salmonberries are ripe.","","","","","","","Dunn, Practical Dictionary entry: 1737.","1","","","","","","","","","","","","","","",
"dzildziilks","intransitive verb","dzil/*dzii/lks","melt (pl.)","","Dzildziilksa na sidaawyu.","What I froze is melted.","","Spoken example sentence with word: dzildziilks","dzildziilks-pr-hb-01.mp3","Perry Reece, Txałgiiw","","","","1","","Person saying: dzildziilks","","dzildziilks-pr-hb-01.mp3","","","","","","","","","","",
"sa'winsk","common noun","sa/*'winsk","paper; book","","Dm gyiigu sa'winsk.","I'm going to buy paper.","","Spoken example sentence with word: sa'winsk","sa'winsk-ge-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 1624. entry continued.","1","","","","sa'winsk-ge-hb-01.mp3","","","","","Image depicting: sa'winsk","NEWSPAPER 1.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"yenk","common noun","yeenk","mould","","Is yenk.","It smells like mold.","","","","","","","Dunn, Practical Dictionary entry: 2223.","1","","","","","","","","","","","","","","",
"yenk","intransitive verb","yeenk","mouldy","","Yinyenga anaay, g̱a̱l'naga doot.","The bread is mouldy, it was kept too long.","","Spoken example sentence with word: yenk","yeenk-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 2223.","1","","","","yeenk-dl-hb-03.mp3","","","","","","","","","","",
"łikłgut'iin","common noun","łik/łgu/*t'iin","valleys (pl.)","","Heelda łikłgut'iin a awaa Gitamaat.","There are lots of valleys by Kitimat.","","Spoken example sentence with word: łikłgut'iin","liklgut'iin-em-hb-02.mp3","","","","Dunn, Practical Dictionary entry: 1282","1","","","","liklgut'iin-em-hb-02.mp3","","","","","Image depicting: łikłgut'iin","Sunset & Sky 066.jpg","","Image from Print Artist Platinum software, version 23, Supplementary Graphics CD.","","",
"łikłgut'iin","common noun","łik/łgu/*t'iin","a valley with many tributary valleys","","","","","","","","","","Dunn, Practical Dictionary entry: 1282","1","","","","","","","","","Image depicting: łikłgut'iin","Waterscapes 016.jpg","","Image from Print Artist Platinum software, version 23, Supplementary Graphics CD.","","",
"ḵ'o'an","transitive verb","","ignore someone","","Gyiloom dzi sm ḵ'o'an 'yuuta doni","Don't ignore that man over there.","","","","","","","","1","","","","","","","","","Image depicting: ḵ'o'an","BOY COVERING EARS.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"sg̱a̱'niis","common noun","sg̱a̱/*niis","mountain","","Ła sg̱a yaayu da nduuba sg̱a̱'niis.","When I walked past the base of a mountain.","","","","","","","Dunn, Practical Dictionary entry: 1648.  Dunn, Practical Dictionary entry: 1672.","1","","","","","","","","","Image depicting: sg̱a̱'niis","sgan'iis.bmp","","Photograph by Tammy Blumhagen.","","",
